train_loss,train_acc,val_loss,val_acc
4435.561068447307,0.8504411265693926,1123.753365825396,0.886372311998982
3144.411458306946,0.8920724465558195,1002.8411223306321,0.8980150146329049
2887.7272340285126,0.903524770953512,969.0953905307688,0.9018959155108792
2740.541721813497,0.9069180522565321,896.9017229129095,0.9110573864359334
2634.0632793002296,0.911350525958602,869.4783160015941,0.9132841328413284
2528.332146498491,0.914574143196471,881.4592272479786,0.9073037282096958
2476.1757834230084,0.9160799117746862,860.1143920177128,0.9102939305255121
2420.1173328279983,0.9174160162877503,829.2581058477517,0.9144293167069601
2352.856007498107,0.9212334577536477,780.53606655763,0.9216185265300929
2324.307229757076,0.9217636579572447,773.9077222443884,0.9223183611146456
